sample,cell_type,cell_group,sex,replicate
SRR6298258,naive_CD8_T_cell,T_cell,M,r4
SRR6298259,central_memory_CD8_T_cell,T_cell,M,r4
SRR6298260,effector_memory_CD8_T_cell,T_cell,M,r4
SRR6298261,terminal_effector_CD8_T_cell,T_cell,M,r4
SRR6298262,MAIT_cell,T_cell,M,r4
SRR6298263,Vd2_gd_T_cell,T_cell,M,r4
SRR6298264,non_Vd2_gd_T_cell,T_cell,M,r4
SRR6298265,follicular_helper_T_cell,T_cell,M,r4
SRR6298266,regulatory_T_cell,T_cell,M,r4
SRR6298267,Th1_cell,T_cell,M,r4
SRR6298268,Th1_Th17_cell,T_cell,M,r4
SRR6298269,Th17_cell,T_cell,M,r4
SRR6298270,Th2_cell,T_cell,M,r4
SRR6298271,naive_CD4_T_cell,T_cell,M,r4
SRR6298272,progenitor_cell,progenitor_cell,M,r4
SRR6298273,naive_B_cell,B_cell,M,r4
SRR6298274,non_switched_memory_B_cell,B_cell,M,r4
SRR6298275,exhausted_B_cell,B_cell,M,r4
SRR6298276,switched_memory_B_cell,B_cell,M,r4
SRR6298277,plasmablast,B_cell,M,r4
SRR6298278,classical_monocyte,monocyte,M,r4
SRR6298279,intermediate_monocyte,monocyte,M,r4
SRR6298280,non_classical_monocyte,monocyte,M,r4
SRR6298281,natural_killer_cell,NK_cell,M,r4
SRR6298282,plasmacytoid_dendritic_cell,DC_cell,M,r4
SRR6298283,myeloid_dendritic_cell,DC_cell,M,r4
SRR6298284,neutrophil,granulocyte,M,r4
SRR6298285,basophil,granulocyte,M,r4
SRR6298286,naive_CD8_T_cell,T_cell,M,r2
SRR6298287,central_memory_CD8_T_cell,T_cell,M,r2
SRR6298288,effector_memory_CD8_T_cell,T_cell,M,r2
SRR6298289,terminal_effector_CD8_T_cell,T_cell,M,r2
SRR6298290,MAIT_cell,T_cell,M,r2
SRR6298291,Vd2_gd_T_cell,T_cell,M,r2
SRR6298292,non_Vd2_gd_T_cell,T_cell,M,r2
SRR6298293,follicular_helper_T_cell,T_cell,M,r2
SRR6298294,regulatory_T_cell,T_cell,M,r2
SRR6298295,Th1_cell,T_cell,M,r2
SRR6298296,Th1_Th17_cell,T_cell,M,r2
SRR6298297,Th17_cell,T_cell,M,r2
SRR6298298,Th2_cell,T_cell,M,r2
SRR6298299,naive_CD4_T_cell,T_cell,M,r2
SRR6298300,terminal_effector_CD4_T_cell,T_cell,M,r2
SRR6298301,progenitor_cell,progenitor_cell,M,r2
SRR6298302,naive_B_cell,B_cell,M,r2
SRR6298303,non_switched_memory_B_cell,B_cell,M,r2
SRR6298304,exhausted_B_cell,B_cell,M,r2
SRR6298305,switched_memory_B_cell,B_cell,M,r2
SRR6298306,plasmablast,B_cell,M,r2
SRR6298307,classical_monocyte,monocyte,M,r2
SRR6298308,intermediate_monocyte,monocyte,M,r2
SRR6298309,non_classical_monocyte,monocyte,M,r2
SRR6298310,natural_killer_cell,NK_cell,M,r2
SRR6298311,plasmacytoid_dendritic_cell,DC_cell,M,r2
SRR6298312,myeloid_dendritic_cell,DC_cell,M,r2
SRR6298313,neutrophil,granulocyte,M,r2
SRR6298314,basophil,granulocyte,M,r2
SRR6298315,naive_CD8_T_cell,T_cell,F,r1
SRR6298316,central_memory_CD8_T_cell,T_cell,F,r1
SRR6298317,effector_memory_CD8_T_cell,T_cell,F,r1
SRR6298318,terminal_effector_CD8_T_cell,T_cell,F,r1
SRR6298319,MAIT_cell,T_cell,F,r1
SRR6298320,Vd2_gd_T_cell,T_cell,F,r1
SRR6298321,non_Vd2_gd_T_cell,T_cell,F,r1
SRR6298322,follicular_helper_T_cell,T_cell,F,r1
SRR6298323,regulatory_T_cell,T_cell,F,r1
SRR6298324,Th1_cell,T_cell,F,r1
SRR6298325,Th1_Th17_cell,T_cell,F,r1
SRR6298326,Th17_cell,T_cell,F,r1
SRR6298327,Th2_cell,T_cell,F,r1
SRR6298328,naive_CD4_T_cell,T_cell,F,r1
SRR6298329,terminal_effector_CD4_T_cell,T_cell,F,r1
SRR6298330,progenitor_cell,progenitor_cell,F,r1
SRR6298331,naive_B_cell,B_cell,F,r1
SRR6298332,non_switched_memory_B_cell,B_cell,F,r1
SRR6298333,exhausted_B_cell,B_cell,F,r1
SRR6298334,switched_memory_B_cell,B_cell,F,r1
SRR6298335,plasmablast,B_cell,F,r1
SRR6298336,classical_monocyte,monocyte,F,r1
SRR6298337,intermediate_monocyte,monocyte,F,r1
SRR6298338,non_classical_monocyte,monocyte,F,r1
SRR6298339,natural_killer_cell,NK_cell,F,r1
SRR6298340,plasmacytoid_dendritic_cell,DC_cell,F,r1
SRR6298341,myeloid_dendritic_cell,DC_cell,F,r1
SRR6298342,neutrophil,granulocyte,F,r1
SRR6298343,basophil,granulocyte,F,r1
SRR6298344,naive_CD8_T_cell,T_cell,F,r3
SRR6298345,central_memory_CD8_T_cell,T_cell,F,r3
SRR6298346,effector_memory_CD8_T_cell,T_cell,F,r3
SRR6298347,PBMC,PBMC,M,r9
SRR6298348,PBMC,PBMC,M,r8
SRR6298349,PBMC,PBMC,M,r10
SRR6298350,PBMC,PBMC,M,r5
SRR6298351,PBMC,PBMC,F,r6
SRR6298352,PBMC,PBMC,M,r7
SRR6298353,terminal_effector_CD8_T_cell,T_cell,F,r3
SRR6298354,MAIT_cell,T_cell,F,r3
SRR6298355,Vd2_gd_T_cell,T_cell,F,r3
SRR6298356,non_Vd2_gd_T_cell,T_cell,F,r3
SRR6298357,follicular_helper_T_cell,T_cell,F,r3
SRR6298358,regulatory_T_cell,T_cell,F,r3
SRR6298359,Th1_cell,T_cell,F,r3
SRR6298360,Th1_Th17_cell,T_cell,F,r3
SRR6298361,Th17_cell,T_cell,F,r3
SRR6298362,Th2_cell,T_cell,F,r3
SRR6298363,naive_CD4_T_cell,T_cell,F,r3
SRR6298364,progenitor_cell,progenitor_cell,F,r3
SRR6298365,naive_B_cell,B_cell,F,r3
SRR6298366,non_switched_memory_B_cell,B_cell,F,r3
SRR6298367,exhausted_B_cell,B_cell,F,r3
SRR6298368,switched_memory_B_cell,B_cell,F,r3
SRR6298369,plasmablast,B_cell,F,r3
SRR6298370,classical_monocyte,monocyte,F,r3
SRR6298371,intermediate_monocyte,monocyte,F,r3
SRR6298372,non_classical_monocyte,monocyte,F,r3
SRR6298373,natural_killer_cell,NK_cell,F,r3
SRR6298374,plasmacytoid_dendritic_cell,DC_cell,F,r3
SRR6298375,myeloid_dendritic_cell,DC_cell,F,r3
SRR6298376,neutrophil,granulocyte,F,r3
SRR6298377,basophil,granulocyte,F,r3
SRR6298378,PBMC,PBMC,M,r4
SRR6298379,PBMC,PBMC,M,r2
SRR6298380,PBMC,PBMC,F,r1
SRR6298381,PBMC,PBMC,F,r3
SRR6298382,PBMC,PBMC,M,r11
SRR6298383,PBMC,PBMC,M,r12
SRR6298384,PBMC,PBMC,F,r13
