genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene1,13,139,0,37,2413,3782,787,8426,3,0,0,0,1,3,2,1,5,4,5,0
gene2,0,0,0,0,0,0,0,0,0,0,18,5,2,1,14,10,2,0,5,15
gene3,0,0,0,0,0,0,0,0,0,0,5,10,1,10,16,2,2,1,40,0
gene4,1,0,0,1722,0,0,2158,0,3,95791,50,0,0,0,0,0,0,2,0,0
gene5,0,0,1,0,0,1,1,1223,121,0,3,0,1,2,2,0,24,6,4,2
gene6,0,1,0,0,0,0,0,0,0,0,249806,0,0,154012,169381,0,10194,0,74,0
gene7,214,35,6,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6459,0
gene8,0,0,0,0,120,1,0,111,3,0,275,86,3,0,0,0,29,2044,13,2
gene9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gene10,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0
gene11,0,0,251,0,0,1024,0,0,2,0,2,0,0,0,0,2,2,1,1,0
gene12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
gene13,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
gene14,670,45,5,108,7,863,54,197,389,411,0,0,6,0,104,53,46,15,339,2
gene15,0,8,44,0,0,7,37,20,0,1,65,94,6331,0,499,0,0,4,0,0
gene16,1,1,0,2,0,0,1,2,0,0,13,2,108,1,39,4,0,6,1,5
gene17,0,2760,0,0,224,0,12,27,2,3,0,0,10,0,0,0,6,0,2,0
gene18,0,8,0,1,0,3,0,1,2,0,3,3,2,2,6,0,6,1,6,6
gene19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene20,0,1,0,0,0,1,0,0,1,0,806,1788,0,11,0,0,6848,39,277,24
gene21,0,0,127978,20033,0,30301,31870,355,0,0,1,19,24,180,0,3,0,44,9,10
gene22,19,1,69,12,35,17,32,0,10,0,0,0,2,0,0,1915,1289,1367,0,1258
gene23,422,488,1818,26,610,122,0,0,1298,1243,1,1,2,0,2,0,1,24,0,2
gene24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
gene25,5,74,1,2,69,61,1,14,1000,118,0,0,0,0,0,0,0,0,0,0
gene26,0,2,55,188,1127,0,487,0,27,0,0,110,0,0,3,0,58,0,104,0
gene27,31,24,5212,0,0,73,136,322,0,0,0,0,0,0,1,0,0,0,1,0
gene28,1,0,0,1,0,6,1,1,2,1,0,0,0,0,0,0,1,0,0,0
gene29,0,0,3,4,1,0,6,0,3,2,13109,33892,722,13130,0,4444,2111,25,5389,1985
gene30,0,740,0,4,0,0,0,0,21,30,1629,0,0,0,0,11,435,0,0,490
gene31,0,2,0,0,2,2,0,2,3,0,55,340,130,865,666,256,1234,206,18,620
gene32,0,29,1603,0,18,0,272,0,0,402,0,0,49,0,0,0,0,19,0,0
gene33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene34,0,0,2,1,1,1,0,1,0,1,11,4,2,1,61,7,6,4,2,1
gene35,1,186,18,2,6,0,0,8,0,0,0,0,0,1,1,0,0,0,0,1
gene36,0,7,0,26436,0,0,104,0,1,0,1,1,0,0,0,0,1,0,1,1
gene37,0,0,0,0,0,0,1,0,1,1,0,0,0,13987,3,141237,0,5,0,10341
gene38,2,0,0,1,0,1,0,0,0,0,0,0,2,0,3,1,0,2,0,0
gene39,0,84,0,2,17,2,0,0,12,0,2,1,4,3,0,11,22,20,7,3
gene40,0,3,0,0,683,0,8,0,0,0,5,0,356,0,310,0,3,780,397,18
